productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3
83469,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83469_200w.jpg,3,1390,https://cpt.tcgcsv.com/ppH,2023-09-25T20:07:51.407,1,15/100,Rare,Colorless,80,Stage 1,"<strong>Poké-BODY — Primal Claw</strong>
<br>
After your opponent's Pokémon uses a Poké-Power, put 2 damage counters on that Pokémon.","[2] Supersonic (30)
<br>
Flip a coin. If heads, the Defending Pokémon is now Confused.",L+20,F-20,1,3.0,3.99,9.5,4.41,,Normal,,
83469,Aerodactyl,Aerodactyl,https://tcgplayer-cdn.tcgplayer.com/product/83469_200w.jpg,3,1390,https://cpt.tcgcsv.com/ppH,2023-09-25T20:07:51.407,1,15/100,Rare,Colorless,80,Stage 1,"<strong>Poké-BODY — Primal Claw</strong>
<br>
After your opponent's Pokémon uses a Poké-Power, put 2 damage counters on that Pokémon.","[2] Supersonic (30)
<br>
Flip a coin. If heads, the Defending Pokémon is now Confused.",L+20,F-20,1,4.49,5.53,10.3,9.91,,Reverse Holofoil,,
83490,Aipom (50),Aipom 50,https://tcgplayer-cdn.tcgplayer.com/product/83490_200w.jpg,3,1390,https://cpt.tcgcsv.com/QpH,2023-09-25T20:10:14.563,1,50/100,Common,Colorless,60,Basic,,"[1] Collect
<br>
Draw a card.",F+10,,1,0.3,0.49,2.23,0.75,,Normal,"[2] Hand Trick (20)
<br>
Return Aipom and all cards attached to it to your hand. <em>(If you don't have any Benched Pokémon, this attack does nothing.)</em>",
83490,Aipom (50),Aipom 50,https://tcgplayer-cdn.tcgplayer.com/product/83490_200w.jpg,3,1390,https://cpt.tcgcsv.com/QpH,2023-09-25T20:10:14.563,1,50/100,Common,Colorless,60,Basic,,"[1] Collect
<br>
Draw a card.",F+10,,1,6.95,13.48,20.0,4.49,,Reverse Holofoil,"[2] Hand Trick (20)
<br>
Return Aipom and all cards attached to it to your hand. <em>(If you don't have any Benched Pokémon, this attack does nothing.)</em>",
83491,Aipom (51),Aipom 51,https://tcgplayer-cdn.tcgplayer.com/product/83491_200w.jpg,3,1390,https://cpt.tcgcsv.com/RpH,2025-11-13T05:27:51.233,1,51/100,Common,Colorless,60,Basic,,[1] Scratch (10),F+10,,1,0.1,0.39,6.25,0.34,0.37,Normal,"[2] Last Resort (30)
<br>
Flip a coin. If tails, this attack does nothing.",
83491,Aipom (51),Aipom 51,https://tcgplayer-cdn.tcgplayer.com/product/83491_200w.jpg,3,1390,https://cpt.tcgcsv.com/RpH,2025-11-13T05:27:51.233,1,51/100,Common,Colorless,60,Basic,,[1] Scratch (10),F+10,,1,2.0,2.12,2.75,2.0,,Reverse Holofoil,"[2] Last Resort (30)
<br>
Flip a coin. If tails, this attack does nothing.",
83527,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/83527_200w.jpg,3,1390,https://cpt.tcgcsv.com/zqH,2025-11-13T05:26:51.443,1,35/100,Uncommon,Colorless,80,Stage 1,,"[2] Astonish (20)
<br>
Choose 1 card from your opponent's hand without looking. Look at that card you chose, then have your opponent shuffle that card into his or her deck.",F+20,,1,0.1,0.26,1.99,0.29,0.16,Normal,"[3] Hang High
<br>
Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
83527,Ambipom,Ambipom,https://tcgplayer-cdn.tcgplayer.com/product/83527_200w.jpg,3,1390,https://cpt.tcgcsv.com/zqH,2025-11-13T05:26:51.443,1,35/100,Uncommon,Colorless,80,Stage 1,,"[2] Astonish (20)
<br>
Choose 1 card from your opponent's hand without looking. Look at that card you chose, then have your opponent shuffle that card into his or her deck.",F+20,,1,2.0,2.8,9.99,2.49,2.66,Reverse Holofoil,"[3] Hang High
<br>
Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",
83649,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83649_200w.jpg,3,1390,https://cpt.tcgcsv.com/_sH,2023-09-25T19:19:36.563,1,1/100,Holo Rare,Water,100,Basic,"<strong>Poké-POWER — Freezing Screech</strong>
<br>
Once during your turn, when you put Articuno from your hand onto your Bench, you may flip a coin. If heads, choose 1 of the Defending Pokémon. That Pokémon is now Paralyzed.","[1WW] Blizzard (60)
<br>
Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Mx2,F-20,2,35.0,41.1,59.99,45.23,,Holofoil,,
83649,Articuno,Articuno,https://tcgplayer-cdn.tcgplayer.com/product/83649_200w.jpg,3,1390,https://cpt.tcgcsv.com/_sH,2023-09-25T19:19:36.563,1,1/100,Holo Rare,Water,100,Basic,"<strong>Poké-POWER — Freezing Screech</strong>
<br>
Once during your turn, when you put Articuno from your hand onto your Bench, you may flip a coin. If heads, choose 1 of the Defending Pokémon. That Pokémon is now Paralyzed.","[1WW] Blizzard (60)
<br>
Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your Benched Pokémon. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",Mx2,F-20,2,49.99,54.49,58.99,58.99,,Reverse Holofoil,,
83993,Bronzong,Bronzong,https://tcgplayer-cdn.tcgplayer.com/product/83993_200w.jpg,3,1390,https://cpt.tcgcsv.com/TCH,2023-09-25T20:07:54.607,1,16/100,Rare,Psychic,90,Stage 1,"<strong>Poké-BODY — Cursed Alloy</strong>
<br>
As long as Bronzong is your Active Pokémon, put 1 damage counter on each of your opponent's Pokémon that has any Poké-Powers between turns.","[0] Pain Amplifier
<br>
Put 1 damage counter on each of your opponent's Pokémon that already has damage counters on it.",P+20,R-20,3,0.45,1.24,5.0,1.31,,Normal,"[2P] Coating (60)
<br>
During your opponent's next turn, any damage done to Bronzong by attacks is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",
83993,Bronzong,Bronzong,https://tcgplayer-cdn.tcgplayer.com/product/83993_200w.jpg,3,1390,https://cpt.tcgcsv.com/TCH,2023-09-25T20:07:54.607,1,16/100,Rare,Psychic,90,Stage 1,"<strong>Poké-BODY — Cursed Alloy</strong>
<br>
As long as Bronzong is your Active Pokémon, put 1 damage counter on each of your opponent's Pokémon that has any Poké-Powers between turns.","[0] Pain Amplifier
<br>
Put 1 damage counter on each of your opponent's Pokémon that already has damage counters on it.",P+20,R-20,3,1.98,3.15,5.0,1.92,,Reverse Holofoil,"[2P] Coating (60)
<br>
During your opponent's next turn, any damage done to Bronzong by attacks is reduced by 20 <em>(after applying Weakness and Resistance)</em>.",
84002,Bronzor,Bronzor,https://tcgplayer-cdn.tcgplayer.com/product/84002_200w.jpg,3,1390,https://cpt.tcgcsv.com/3DH,2023-09-25T20:10:21.673,1,52/100,Common,Psychic,50,Basic,,"[1] Hypnosis
<br>
The Defending Pokémon is now Asleep.",P+10,F-20,1,0.07,0.29,5.0,0.31,0.25,Normal,"[P] Confuse Ray (10)
<br>
Flip a coin. If heads, the Defending Pokémon is now Confused.",
