productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText
83670,Axew (12),Axew 12,https://tcgplayer-cdn.tcgplayer.com/product/83670_200w.jpg,3,1426,https://cpt.tcgcsv.com/qtH,2026-02-25T19:25:25.747,1,12/20,Holo Rare,Dragon,40,Basic,"[F] Signs of Evolution - Flip a coin.  If heads, search your deck for Fraxure, reveal it, and put it into your hand.  Shuffle your deck afterward.",[M] Scratch (10),Ox2,1,0.5,1.27,5.0,1.56,1.97,Holofoil,
83671,Axew (13),Axew 13,https://tcgplayer-cdn.tcgplayer.com/product/83671_200w.jpg,3,1426,https://cpt.tcgcsv.com/rtH,2023-01-05T19:35:36.947,1,13/20,Holo Rare,Dragon,50,Basic,"[FM] Lunge (30) Flip a coin.  If tails, this attack does nothing.",,Ox2,1,0.98,1.51,7.99,1.81,,Holofoil,
83701,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83701_200w.jpg,3,1426,https://cpt.tcgcsv.com/2vH,2023-01-05T19:27:26.59,1,6/20,Holo Rare,Dragon,50,Basic,[1] Headbutt (10),[RW] Dragon Claw (20),Ox2,1,0.7,1.49,96.95,1.64,46.0,Holofoil,
84902,Dragonair (3),Dragonair 3,https://tcgplayer-cdn.tcgplayer.com/product/84902_200w.jpg,3,1426,https://cpt.tcgcsv.com/3-H,2026-02-25T19:26:56.207,1,3/20,Holo Rare,Dragon,70,Stage 1,[2] Tail Whap (20),[1GL] Dragon Pulse (70),Ox2,2,2.4,4.72,19.95,4.47,7.0,Holofoil,
84903,Dragonair (4),Dragonair 4,https://tcgplayer-cdn.tcgplayer.com/product/84903_200w.jpg,3,1426,https://cpt.tcgcsv.com/5-H,2026-02-25T19:27:11.423,1,4/20,Holo Rare,Dragon,70,Stage 1,[G] Healing Melody - Heal 10 from each of your Pokemon.,[1L] Slam (30x) Flip 2 coins.  This attack does 30 damage times the number of heads.,Ox2,2,6.98,10.54,23.75,10.02,8.0,Holofoil,
84915,Dragonite,Dragonite,https://tcgplayer-cdn.tcgplayer.com/product/84915_200w.jpg,3,1426,https://cpt.tcgcsv.com/k-H,2026-02-25T19:27:50.207,1,5/20,Holo Rare,Dragon,150,Stage 2,"[2L] Hyper Beam (50) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",[3G] Hurricane Tail (60x) Flip 4 coins.  This attack does 60 damage times the number of heads.,Ox2,3,11.97,15.94,44.95,15.6,,Holofoil,
84937,Dratini (1),Dratini 1,https://tcgplayer-cdn.tcgplayer.com/product/84937_200w.jpg,3,1426,https://cpt.tcgcsv.com/M-H,2026-02-27T22:08:51.453,1,1/20,Holo Rare,Dragon,40,Basic,"[GL] Warp (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",,Ox2,1,1.5,2.41,96.94,2.41,1.85,Holofoil,
84938,Dratini (2),Dratini 2,https://tcgplayer-cdn.tcgplayer.com/product/84938_200w.jpg,3,1426,https://cpt.tcgcsv.com/N-H,2026-02-25T19:26:19.997,1,2/20,Holo Rare,Dragon,40,Basic,[G] Hypnotic Gaze - The Defending Pokemon is now Asleep.,[L] Tail Whap (10),Ox2,1,4.0,6.74,13.99,7.51,,Holofoil,
84979,Druddigon,Druddigon,https://tcgplayer-cdn.tcgplayer.com/product/84979_200w.jpg,3,1426,https://cpt.tcgcsv.com/C_H,2023-01-05T19:36:05.64,1,17/20,Holo Rare,Dragon,110,Basic,"[2] Tight Jaw (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",[1RW] Dragon Tail (80x) Flip 2 coins.  This attack does 80 damage times the number of heads.,Ox2,2,1.0,2.4,4.99,2.4,,Holofoil,
85366,Exp. Share,Exp Share,https://tcgplayer-cdn.tcgplayer.com/product/85366_200w.jpg,3,1426,https://cpt.tcgcsv.com/l9J,2025-12-10T23:46:11.29,1,18/20,Holo Rare,Item,0,Tool,"When your Active Pokemon is Knocked Out by damage from an opponent's attack, you may move 1 basic Energy card that was attached to that Pokemon to the Pokemon this card is attached to.",,,,0.9,1.5,4.99,1.71,,Holofoil,Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.
85470,First Ticket,First Ticket,https://tcgplayer-cdn.tcgplayer.com/product/85470_200w.jpg,3,1426,https://cpt.tcgcsv.com/qcJ,2023-01-05T19:36:20.257,1,19/20,Holo Rare,Item,0,Item,"Before you flip a coin to decide who goes first in a game, you may play this card.  Don't flip that coin, and you go first.  If both players play First Ticket, flip the coin as normal.  (You may play only 1 First Ticket before you flip that coin.)",,,,0.25,0.75,4.99,0.79,,Holofoil,You may play as many Item cards as you like during your turn (before your attack).
